"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)"
0.1,0.005681818181818182,528,3,3.015287672325506e-13,0.9999402694049948,0.00005972702590706391,3.569106609210688e-9,0.9999402694046933,0.000059727025907045897,3.569106609209612e-9
0.2,0.005681818181818182,528,3,4.052730636838406e-7,0.9925080470621936,0.00743626020613409,0.000055692731652839214,0.9925076448254168,0.007436257192418134,0.00005569270908207524
0.30000000000000004,0.005681818181818182,528,3,0.00006504415806240019,0.9578231989990954,0.04047440118030309,0.0017023998205942285,0.9577608981955439,0.040471768556955244,0.0017022890894312125
0.4,0.005681818181818182,528,3,0.0009570406150177925,0.8919645699214819,0.09752655499133618,0.010508875087175337,0.8911109236009102,0.09743321811716671,0.010498817666898762
0.5,0.005681818181818182,528,3,0.005178947324693425,0.8025284549440768,0.16464210521101208,0.032829439844912635,0.7983722023493538,0.16378943242069763,0.032659417905256644
0.6000000000000001,0.005681818181818182,528,3,0.016404291784346364,0.7010937036844143,0.22797304665811877,0.07093324965746886,0.6895927580010071,0.2242333102817726,0.06976963993287585
0.7000000000000001,0.005681818181818182,528,3,0.03735686360548143,0.5990120077222726,0.2787962144644673,0.1221917778132561,0.5766347978517461,0.26838126230699366,0.11762707623577502
0.8,0.005681818181818182,528,3,0.0682721759468789,0.5044967004934301,0.3141513347258177,0.18135196478076102,0.47005361299272275,0.2927035395274698,0.1689706715329367
0.9,0.005681818181818182,528,3,0.10708431765378838,0.42181096065530993,0.33508100349736986,0.2431080358473165,0.3766416217546471,0.29919908287910735,0.2170749777124539
1,0.005681818181818182,528,3,0.15068278258459541,0.3520640395545131,0.3444476072903316,0.30348835315515205,0.299014050426466,0.2925452833692185,0.25775788361971735
1.1,0.005681818181818182,528,3,0.19609444523195865,0.29448840413203226,0.34541054649389946,0.36010104937407805,0.23674086389651655,0.2776774570019106,0.28948723386962205
1.2000000000000002,0.005681818181818182,528,3,0.24107220504199142,0.24748711671239798,0.3406959772864566,0.41181690600114274,0.1878248517670555,0.25856364679307425,0.3125392963978767
1.3,0.005681818181818182,528,3,0.2841812639174914,0.20927434485864424,0.3323906322283248,0.45833502291303146,0.14980249703120974,0.23793144224734541,0.32808479680395375
1.4000000000000001,0.005681818181818182,528,3,0.32464597420441293,0.17818996645662355,0.32198445972456563,0.4998255738188191,0.12034131120286132,0.21745350111860245,0.3375592134741288
1.5,0.005681818181818182,528,3,0.3621453484397919,0.15281665585093954,0.31049420047230486,0.5366891436767531,0.09747481477039728,0.19805017005372744,0.3423296667360819
1.6,0.005681818181818182,528,3,0.39663975006532354,0.13199680181152623,0.2985906087650491,0.5694125894234181,0.07964162333158042,0.18015770433262723,0.34356092227046486
1.7000000000000002,0.005681818181818182,528,3,0.42824783737263217,0.11480687272924854,0.2867028066020741,0.5984903206686816,0.06564107776743283,0.16392294970607185,0.34218813515386554
1.8,0.005681818181818182,528,3,0.457167332151638,0.10051866368350128,0.27509584411855265,0.6243854921979417,0.05456481437586725,0.14933101097687104,0.3389368424956213
1.9000000000000001,0.005681818181818182,528,3,0.48362730090598866,0.08856064913838975,0.2639254641432145,0.647513886718389,0.04573030142910805,0.1362839042792714,0.3343584933856285
2,0.005681818181818182,528,3,0.507861037281039,0.07848440213786897,0.25327567340714346,0.6682399244549855,0.038625232257748644,0.12464682719253793,0.3288669032686734
