"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec8 | Acc)","P(Sec9 | Acc)","P(Sec10 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)","P(Sec8)","P(Sec9)","P(Sec10)"
0.1,0.005681818181818182,1672,9.5,-2.992630015324904e-13,0.9999402695390627,0.000059726996454608324,3.5435862610377403e-9,-2.06097337030116e-11,-1.7693956032654123e-11,-1.4550948160470462e-11,-1.1397918843917405e-11,-8.248798938899214e-12,-5.113300261761856e-12,-1.5512065102466158e-12,0.999940269539362,0.0000597269964546262,3.543586261038801e-9,-2.0609733703017767e-11,-1.769395603265942e-11,-1.4550948160474818e-11,-1.1397918843920817e-11,-8.248798938901683e-12,-5.1133002617633866e-12,-1.5512065102470801e-12
0.2,0.005681818181818182,1672,9.5,-2.0862857882247843e-13,0.9925075795398838,0.007436284135560773,0.00005571575838095388,4.174377313741572e-7,3.12070133445083e-9,1.770383871905232e-11,-4.30283508230563e-12,-3.213596073715768e-12,-1.934550914385327e-12,-4.917023887117935e-13,0.992507579540091,0.007436284135562325,0.00005571575838096551,4.1743773137424434e-7,3.1207013344514813e-9,1.7703838719056015e-11,-4.302835082306528e-12,-3.2135960737164388e-12,-1.934550914385731e-12,-4.917023887118961e-13
0.30000000000000004,0.005681818181818182,1672,9.5,3.8514075826126537e-13,0.9577372403600017,0.04047661874911333,0.001710653616749952,0.00007229695087298072,0.000003055475706835333,1.2913861516902962e-7,5.462265544266521e-9,2.3408978051882817e-10,1.1828072468436237e-11,8.070194610744418e-13,0.9577372403596328,0.04047661874909774,0.001710653616749293,0.00007229695087295287,0.000003055475706834156,1.2913861516897985e-7,5.462265544264416e-9,2.34089780518738e-10,1.1828072468431681e-11,8.070194610741309e-13
0.4,0.005681818181818182,1672,9.5,5.418302550337303e-10,0.8905685236161514,0.09745622920520754,0.010664779107314993,0.0011670625037928323,0.00012771334825672213,0.000013975839621652758,0.0000015293853790797527,1.673637763037202e-7,1.829626734713191e-8,1.3342560876726257e-9,0.8905685231336143,0.09745622915240279,0.010664779101536492,0.0011670625031604824,0.00012771334818752317,0.000013975839614080224,0.0000015293853782510854,1.6736377621303744e-7,1.8296267337218437e-8,1.3342560869496851e-9
0.5,0.005681818181818182,1672,9.5,1.7675386154081865e-7,0.7943478203658559,0.16335958370089518,0.033595300326822716,0.006908956161067162,0.0014208437672712862,0.00029219997505644914,0.000060092550657212773,0.000012361662521815262,0.0000025404786895414884,3.0101111779629583e-7,0.7943476799618112,0.16335955482645792,0.03359529438872365,0.006908954939882481,0.0014208435161316636,0.0002921999234089752,0.00006009254003562239,0.000012361660336843676,0.00000254047824050207,3.010110645914184e-7
0.6000000000000001,0.005681818181818182,1672,9.5,0.00001114407136137128,0.6732414322733107,0.22000003373595453,0.07189102236422402,0.0234923556695564,0.0076767670962214225,0.002508590879219331,0.0008197854044528065,0.0002680657724171043,0.00008754882129482486,0.000014397983325985575,0.673233929622746,0.2199975820398791,0.07189022120554056,0.02349209386906837,0.007676681545781078,0.002508562923303556,0.0008197762687057583,0.00026806278507300694,0.00008754784564451274,0.000014397822873831931
0.7000000000000001,0.005681818181818182,1672,9.5,0.0002516182741178623,0.5311474510200223,0.2492663174156453,0.11698012875919199,0.0548985121972807,0.025763726159866825,0.012090817780541881,0.005674713272861119,0.002666439437646079,0.0012509389531274145,0.00026095500378326,0.5310138046150945,0.2492035974550615,0.11695069442108752,0.05488469872838998,0.025757243535555634,0.012087775509839268,0.005673285411301288,0.0026657685127567388,0.0012506241940270018,0.00026088934273558567
0.8,0.005681818181818182,1672,9.5,0.002701688488663213,0.37458816724278693,0.23614706259263565,0.1488713226277611,0.09385112744819972,0.059165283737591175,0.037298538279956356,0.023517599560935847,0.014855582339667264,0.009364399110937963,0.002340917059510745,0.3735761467033576,0.23550906679199746,0.14846911868912557,0.09359757093752484,0.059005437571588826,0.037197769248441426,0.023454062332921074,0.014815447183867795,0.009339099421656692,0.002334592630838149
0.9,0.005681818181818182,1672,9.5,0.015536381026085306,0.22239948781934532,0.17967979509049672,0.14516593662728686,0.11728165137001151,0.09475307105260854,0.07655112798378033,0.06186372022338298,0.050126671934412004,0.04050225948007883,0.011676278418618508,0.21894420463657774,0.17688822133128182,0.14291058332383677,0.11545951894695851,0.09328095123734348,0.0753618004914477,0.060902581894301366,0.0493478848596694,0.03987300094437895,0.011494871308140194
1,0.005681818181818182,1672,9.5,0.05111667308220238,0.10713198740810197,0.10713198936334346,0.10713200046789367,0.10713194611384959,0.1071309055736444,0.10712788463084096,0.10717228257637239,0.10759923114622821,0.1076205294791358,0.034821243240579725,0.1016557566311154,0.10165575848641145,0.101655769023334,0.10165571744768781,0.10165473009643612,0.10165186357417837,0.10169399204444254,0.10209911642383013,0.1021193260568173,0.03304129713353516
1.1,0.005681818181818182,1672,9.5,0.10815163205771884,0.04364257755451947,0.05259865735675917,0.06339266336535714,0.07640166626443617,0.09207884746461968,0.11096990052548901,0.13382152416575432,0.16211607024735813,0.19541760940431224,0.06956048365139883,0.038922561564792624,0.04691002671958093,0.0565366433619082,0.06813870136600825,0.08212036983332732,0.09896832467437466,0.11934850792277654,0.14458295266732257,0.17428287601441805,0.06203740381777578
1.2000000000000002,0.005681818181818182,1672,9.5,0.17204378341989862,0.016457490382255805,0.023408277643165998,0.033294725735160305,0.04735660121101254,0.0673557909535597,0.09579738552748898,0.13636683499534463,0.1952089804172955,0.2776559964311513,0.10709791670357684,0.01362608147129592,0.01938102899409229,0.02756657515175546,0.03920919236876259,0.05576764584266951,0.07931604087960513,0.1129057687697485,0.16162448886876307,0.22988700831591413,0.08867238591750431
1.3,0.005681818181818182,1672,9.5,0.23245212229300932,0.006179357881682354,0.01019832188942127,0.016831169654248287,0.027777835005895073,0.04584233259600772,0.07565113517006407,0.1249853963632072,0.2078790268191895,0.3429764254473884,0.14167899917290058,0.004742953027677256,0.007827700322398044,0.012918728547444577,0.021320818306069717,0.035186185093203724,0.05806586824590736,0.09593227572294671,0.1595571058548635,0.26325082745567285,0.10874541513081033
1.4000000000000001,0.005681818181818182,1672,9.5,0.2862650083399066,0.002399402920863292,0.004531184071503394,0.008556980718981196,0.016159468577649046,0.03051485842667651,0.05761993094836792,0.10895957244106251,0.20765607378099557,0.39185699805950874,0.17174553005440102,0.0017125378237115656,0.003234064625484823,0.006107416562097625,0.011533578170499884,0.02177952222467289,0.041125360934888534,0.0777682595275091,0.14821140608824662,0.2796820512419527,0.12258079446103623
1.5,0.005681818181818182,1672,9.5,0.33352457948804604,0.0009777919489216606,0.0020884065816012803,0.004460505887893986,0.00952685813234674,0.020346287533120903,0.043450561676622264,0.0929587118429231,0.20065560603619087,0.4279984401681855,0.1975368301921333,0.0006516743003307669,0.0013918716546726458,0.002972817537330191,0.006349416779913523,0.013560300539493881,0.028958731364907415,0.06195469656576173,0.13373202941105128,0.28525044038955183,0.1316534419689005
1.6,0.005681818181818182,1672,9.5,0.37507065430928066,0.0004196379103612721,0.0010037194806359264,0.0024007703597901118,0.005742273494742202,0.013733388548628348,0.03284319239519539,0.07871672312805617,0.19055949887331522,0.4548656549247299,0.21971514088457988,0.0002622440447490905,0.0006272537582908381,0.0015003118500973075,0.0035885152178464046,0.008582397519810731,0.020524674733923866,0.049192390279333656,0.11908622294605226,0.284258896109292,0.13730643923134472
1.7000000000000002,0.005681818181818182,1672,9.5,0.4117924076776504,0.00018940264814862242,0.0005030520020563607,0.0013361048732736744,0.0035486342384028233,0.00942392314688023,0.02502516858185833,0.06662868318779061,0.17937174374063436,0.47504728711334754,0.2389260004675725,0.0001114080756469783,0.0002958990069425095,0.0007859070305984659,0.002087333601403579,0.0055432231444572785,0.014719994158995794,0.03919149731749892,0.10550782151634,0.27942642099220605,0.14053808747823937
1.8,0.005681818181818182,1672,9.5,0.4444559224089771,0.00008961272138609414,0.000262359973920963,0.0007681154991935867,0.0022487752007471213,0.006582686149786027,0.019268072124289583,0.05657333691673154,0.168131150925346,0.4903717308780128,0.25570415961061366,0.000049783816642859,0.00014575252970872623,0.00042672201648286925,0.001249293744608627,0.003656972305154081,0.010704263355245758,0.03142898227365179,0.09340426515513842,0.27242311090733895,0.14205493148706608
1.9000000000000001,0.005681818181818182,1672,9.5,0.4736892130495921,0.00004427681004416012,0.00014197708054308002,0.0004552620082081314,0.0014597958857176655,0.004680010626021299,0.01500325268178059,0.04826979184218239,0.15735023855849747,0.5021207790195641,0.27047461548742446,0.000023303362737995637,0.00007472406898954988,0.00023960930580864469,0.0007683063213990322,0.002463140075517541,0.00789637372576376,0.025404912130391394,0.08281512788255722,0.26427158234993864,0.14235370772729536
2,0.005681818181818182,1672,9.5,0.5000022830501024,0.00002275949546863556,0.00007948085752390131,0.0002775645583915487,0.0009692804506619848,0.0033841058126365185,0.011814929722877022,0.041418585815120965,0.147259438494637,0.5112008810070836,0.2835729737855623,0.00001137969577324932,0.00003974024730317075,0.0001387816455019809,0.0004846380124151603,0.0016920451802351372,0.005907437887361998,0.020709198346853898,0.07362938304664236,0.25559927340631805,0.1417858394814743
